contestID,problemID,rating,tags
986,C,2506,"['bitmasks', 'dfs and similar', 'dsu', 'graphs']"
986,D,3165,"['fft', 'math']"
986,E,2887,"['brute force', 'data structures', 'math', 'trees']"
986,F,3319,"['graphs', 'math', 'number theory', 'shortest paths']"
987,A,756,['implementation']
987,B,1274,['math']
987,C,1447,"['brute force', 'dp', 'implementation']"
987,D,1809,['shortest paths']
987,E,1851,[]
987,F,2628,"['bitmasks', 'dfs and similar', 'graphs']"
981,A,992,"['brute force', 'implementation', 'strings']"
981,B,1118,['sortings']
981,C,1430,"['implementation', 'trees']"
981,D,1914,"['bitmasks', 'dp', 'greedy']"
981,E,2175,"['bitmasks', 'data structures', 'divide and conquer', 'dp']"
981,F,2558,"['binary search', 'graph matchings', 'greedy']"
981,G,2513,['data structures']
981,H,3284,"['combinatorics', 'data structures', 'dp', 'fft', 'math']"
982,A,1310,"['brute force', 'constructive algorithms']"
982,B,1342,"['data structures', 'greedy', 'implementation']"
982,C,1551,"['dfs and similar', 'dp', 'graphs', 'greedy', 'trees']"
982,D,1974,"['brute force', 'data structures', 'dsu', 'trees']"
982,E,2620,"['geometry', 'number theory']"
982,F,2890,"['dfs and similar', 'graphs']"
983,A,1754,"['implementation', 'math']"
983,B,1802,['dp']
983,C,2348,"['dp', 'graphs', 'shortest paths']"
983,D,3589,['data structures']
983,E,2762,"['binary search', 'data structures', 'trees']"
984,A,746,['sortings']
984,B,1180,['implementation']
984,C,1747,['number theory']
984,D,1901,['dp']
984,E,2605,"['dp', 'shortest paths']"
979,A,1153,['math']
979,B,1892,['greedy']
979,C,1657,"['dfs and similar', 'trees']"
979,D,2251,"['binary search', 'bitmasks', 'brute force', 'data structures', 'dp', 'dsu', 'greedy', 'math', 'number theory', 'strings', 'trees']"
979,E,2781,['dp']
978,A,845,['implementation']
978,B,852,"['greedy', 'strings']"
978,C,1159,"['binary search', 'implementation', 'two pointers']"
978,D,1568,"['brute force', 'implementation', 'math']"
978,E,1476,['math']
978,F,1561,"['binary search', 'data structures', 'implementation']"
978,G,1803,"['greedy', 'implementation', 'sortings']"
980,A,972,"['implementation', 'math']"
980,B,1567,['constructive algorithms']
980,C,1696,"['games', 'greedy']"
980,D,2341,"['dp', 'math', 'number theory']"
980,E,2361,"['data structures', 'greedy', 'trees']"
980,F,4000,"['dp', 'graphs', 'trees']"
977,A,534,['implementation']
977,B,1014,"['implementation', 'strings']"
977,C,1279,['sortings']
977,D,1445,"['dfs and similar', 'math', 'sortings']"
977,E,1601,"['dfs and similar', 'dsu', 'graphs']"
977,F,1793,['dp']
975,A,978,"['implementation', 'strings']"
975,B,1191,"['brute force', 'implementation']"
975,C,1394,['binary search']
975,D,1994,"['geometry', 'math']"
975,E,2834,['geometry']
966,A,1715,"['binary search', 'data structures', 'greedy']"
966,B,1750,"['binary search', 'data structures', 'greedy', 'two pointers']"
966,C,2112,"['constructive algorithms', 'data structures', 'greedy', 'math']"
966,D,2619,"['constructive algorithms', 'graphs']"
966,E,3037,"['data structures', 'trees']"
966,F,4000,['flows']
967,A,1350,['implementation']
967,B,1130,['sortings']
967,C,1717,['binary search']
967,D,1877,"['binary search', 'sortings']"
967,E,2316,['constructive algorithms']
967,F,2803,['graphs']
965,A,912,['math']
965,B,1434,['implementation']
965,C,2065,['math']
965,D,1913,"['binary search', 'flows', 'greedy', 'two pointers']"
965,E,2527,"['data structures', 'dp', 'greedy', 'strings', 'trees']"
963,A,1815,"['math', 'number theory']"
963,B,1966,"['constructive algorithms', 'dfs and similar', 'dp', 'greedy', 'trees']"
963,C,2574,"['brute force', 'math', 'number theory']"
963,D,2510,"['hashing', 'string suffix structures', 'strings']"
963,E,3233,['math']
964,A,881,['math']
964,B,1350,['math']
964,C,1902,"['math', 'matrices', 'number theory']"
964,D,2123,"['dfs and similar', 'dp', 'trees']"
964,E,2690,['math']
960,A,1312,['implementation']
960,B,1443,"['data structures', 'greedy', 'sortings']"
960,C,1725,"['bitmasks', 'constructive algorithms', 'greedy', 'implementation']"
960,D,2083,"['brute force', 'implementation', 'trees']"
960,E,2308,"['combinatorics', 'dfs and similar', 'divide and conquer', 'dp', 'probabilities', 'trees']"
960,F,2033,"['data structures', 'dp', 'graphs']"
960,G,2922,"['combinatorics', 'dp', 'fft', 'math']"
960,H,3123,"['data structures', 'trees']"
959,A,573,"['games', 'math']"
959,B,1266,"['dsu', 'greedy', 'implementation']"
959,C,1519,"['constructive algorithms', 'trees']"
959,D,1964,"['constructive algorithms', 'greedy', 'math', 'number theory']"
959,E,1828,"['bitmasks', 'dp', 'graphs', 'implementation', 'math']"
959,F,2552,"['bitmasks', 'dp', 'math', 'matrices']"
956,A,1412,['implementation']
956,B,1694,"['binary search', 'greedy', 'two pointers']"
956,C,1764,"['data structures', 'dp', 'greedy', 'implementation']"
956,D,2419,[]
956,E,2679,['dp']
956,F,4000,"['bitmasks', 'dp']"
957,A,1384,['implementation']
957,B,1421,"['brute force', 'greedy', 'implementation']"
957,C,1597,"['binary search', 'greedy', 'math', 'two pointers']"
957,D,1864,"['dp', 'greedy']"
957,E,2615,[]
955,A,1154,"['greedy', 'math']"
955,B,1423,['implementation']
955,C,2093,"['binary search', 'math', 'number theory']"
955,D,2925,"['brute force', 'strings']"
955,E,2925,[]
955,F,2804,"['dp', 'trees']"
947,A,1589,"['brute force', 'math', 'number theory']"
947,B,1471,"['binary search', 'data structures', 'implementation']"
947,C,1699,"['data structures', 'strings']"
947,D,2587,"['constructive algorithms', 'implementation']"
947,E,3474,"['fft', 'math', 'matrices']"
947,F,4000,[]
948,A,1159,"['brute force', 'dfs and similar', 'graphs', 'implementation']"
948,B,1751,"['brute force', 'math', 'number theory']"
948,C,1625,"['binary search', 'data structures']"
948,D,1953,"['data structures', 'greedy', 'strings', 'trees']"
948,E,2709,"['constructive algorithms', 'implementation']"
949,A,1550,['greedy']
949,B,1693,['math']
949,C,2002,"['dfs and similar', 'graphs']"
949,D,2321,"['binary search', 'brute force', 'greedy', 'sortings']"
949,E,2728,['brute force']
949,F,4000,"['geometry', 'probabilities']"
950,A,957,['implementation']
950,B,1176,"['greedy', 'implementation']"
950,C,1634,"['constructive algorithms', 'greedy']"
950,D,1782,"['constructive algorithms', 'math']"
950,E,2171,"['2-sat', 'graphs']"
950,F,2488,['greedy']
930,A,1263,['dfs and similar']
930,B,1605,"['implementation', 'probabilities', 'strings']"
930,C,1899,"['data structures', 'dp']"
930,D,2528,"['data structures', 'games', 'implementation']"
930,E,2926,"['data structures', 'dp', 'math']"
931,A,695,"['brute force', 'implementation', 'math']"
931,B,1317,['implementation']
931,C,1717,"['implementation', 'math']"
931,D,1555,['dfs and similar']
931,E,2038,"['implementation', 'math', 'probabilities']"
931,F,2305,"['data structures', 'dp']"
944,A,1306,"['constructive algorithms', 'implementation']"
944,B,1557,['implementation']
944,C,1306,"['dfs and similar', 'graphs', 'trees']"
944,D,1684,[]
944,E,1965,"['binary search', 'data structures', 'dp']"
944,F,2789,"['data structures', 'games']"
944,G,2789,['math']
936,A,1676,"['binary search', 'implementation', 'math']"
936,B,2197,"['dfs and similar', 'dp', 'games', 'graphs']"
936,C,2249,"['constructive algorithms', 'implementation', 'strings']"
936,D,2991,"['dp', 'greedy']"
936,E,3579,"['data structures', 'dfs and similar', 'divide and conquer', 'dsu', 'shortest paths', 'trees']"
940,A,1301,"['brute force', 'greedy', 'sortings']"
940,B,1445,['greedy']
940,C,1509,['constructive algorithms']
940,D,1645,['implementation']
940,E,1999,"['data structures', 'dp', 'greedy', 'math']"
940,F,2825,"['brute force', 'data structures']"
935,A,590,"['brute force', 'implementation']"
935,B,964,['implementation']
935,C,1669,['geometry']
935,D,1921,"['math', 'probabilities']"
935,E,2409,"['dp', 'trees']"
935,F,4000,['data structures']
939,A,859,[]
939,B,1181,['implementation']
939,C,1595,"['binary search', 'two pointers']"
939,D,1591,"['dsu', 'greedy']"
939,E,1903,"['binary search', 'greedy', 'ternary search', 'two pointers']"
939,F,2570,"['data structures', 'dp']"
932,A,824,['constructive algorithms']
932,B,1295,"['binary search', 'data structures', 'dfs and similar']"
932,C,1566,"['brute force', 'constructive algorithms']"
932,D,2188,"['binary search', 'dp', 'trees']"
932,E,2337,"['combinatorics', 'dp', 'math']"
932,F,2706,"['data structures', 'dp', 'geometry']"
932,G,3085,"['dp', 'string suffix structures', 'strings']"
933,A,1800,['dp']
933,B,1937,['math']
933,C,2716,['geometry']
933,D,2917,"['brute force', 'combinatorics', 'math']"
933,E,3237,"['constructive algorithms', 'dp']"
934,A,1504,"['brute force', 'games']"
934,B,1239,"['constructive algorithms', 'implementation']"
934,C,1860,"['brute force', 'dp', 'implementation']"
934,D,2070,['math']
934,E,2599,[]
922,A,1454,['implementation']
922,B,1308,['brute force']
922,C,1636,"['brute force', 'number theory']"
922,D,1836,"['greedy', 'sortings']"
922,E,2290,['dp']
922,F,2841,"['constructive algorithms', 'dp', 'greedy', 'number theory']"
919,A,901,"['brute force', 'greedy', 'implementation']"
919,B,1155,"['binary search', 'brute force', 'dp', 'implementation', 'number theory']"
919,C,1411,"['brute force', 'implementation']"
919,D,1773,"['dfs and similar', 'dp', 'graphs']"
919,E,2153,"['chinese remainder theorem', 'math', 'number theory']"
919,F,2707,"['games', 'graphs', 'shortest paths']"
917,A,1824,"['dp', 'greedy', 'implementation', 'math']"
917,B,1653,"['dp', 'games', 'graphs']"
917,C,2907,['dp']
917,D,2629,"['dp', 'math', 'matrices', 'trees']"
917,E,4000,"['data structures', 'string suffix structures', 'strings', 'trees']"
918,A,945,['implementation']
918,B,1038,['implementation']
918,C,1950,"['data structures', 'dp', 'greedy', 'implementation', 'math']"
918,D,1935,"['dfs and similar', 'dp', 'games']"
918,E,4000,[]
914,A,1144,"['implementation', 'math']"
914,B,1359,"['games', 'greedy']"
914,C,1996,"['brute force', 'combinatorics', 'dp']"
914,D,1954,"['data structures', 'number theory']"
914,E,2492,"['bitmasks', 'data structures', 'divide and conquer', 'trees']"
914,F,2987,"['bitmasks', 'brute force', 'data structures', 'string suffix structures', 'strings']"
914,G,2583,"['bitmasks', 'divide and conquer', 'dp', 'fft', 'math']"
914,H,3577,"['combinatorics', 'dp', 'games', 'trees']"
913,A,1021,"['implementation', 'math']"
913,B,1350,"['implementation', 'trees']"
913,C,1693,"['bitmasks', 'dp', 'greedy']"
913,D,1829,"['binary search', 'brute force', 'data structures', 'greedy', 'sortings']"
913,E,2451,"['bitmasks', 'dp', 'shortest paths']"
913,F,2849,"['dp', 'graphs', 'probabilities']"
913,G,3119,"['math', 'number theory']"
913,H,4000,"['math', 'probabilities']"
912,A,940,['implementation']
912,B,1448,"['bitmasks', 'constructive algorithms']"
912,C,2554,"['brute force', 'greedy', 'sortings']"
912,D,2092,"['data structures', 'probabilities']"
912,E,2554,"['binary search', 'dfs and similar', 'math', 'meet-in-the-middle', 'number theory', 'two pointers']"
908,A,754,['implementation']
908,B,1359,"['brute force', 'implementation']"
908,C,1598,"['brute force', 'geometry', 'implementation', 'math']"
908,D,2219,"['dp', 'math', 'probabilities']"
908,E,2485,"['bitmasks', 'combinatorics', 'dp', 'math']"
908,F,2382,"['graphs', 'greedy', 'implementation']"
908,G,2807,"['dp', 'math']"
908,H,3159,[]
909,A,1118,"['brute force', 'greedy', 'sortings']"
909,B,1329,"['constructive algorithms', 'math']"
909,C,1846,['dp']
909,D,2115,"['data structures', 'greedy', 'implementation']"
909,E,2137,"['dfs and similar', 'dp', 'graphs', 'greedy']"
909,F,2649,['constructive algorithms']
904,A,1480,[]
904,B,1474,[]
904,C,1651,[]
904,D,2516,['constructive algorithms']
904,E,2587,[]
904,F,4000,[]
906,A,1527,['implementation']
906,B,2192,"['brute force', 'constructive algorithms', 'math']"
906,C,2387,"['bitmasks', 'brute force', 'dp', 'graphs']"
906,D,2707,"['chinese remainder theorem', 'math', 'number theory']"
906,E,3403,"['dp', 'string suffix structures', 'strings']"
907,A,1439,"['brute force', 'implementation']"
907,B,1418,['implementation']
907,C,1640,"['bitmasks', 'implementation']"
907,D,2473,[]
907,E,2463,"['bitmasks', 'dp']"
907,F,2697,[]
901,A,1620,"['constructive algorithms', 'trees']"
901,B,2186,"['constructive algorithms', 'math']"
901,C,2283,"['binary search', 'data structures', 'dfs and similar', 'dsu', 'graphs', 'two pointers']"
901,D,2749,"['constructive algorithms', 'dfs and similar', 'graphs']"
901,E,4000,"['fft', 'math']"
902,A,1236,['implementation']
902,B,1317,"['dfs and similar', 'dsu', 'greedy']"
902,C,1574,['constructive algorithms']
902,D,2172,['math']
902,E,2633,"['data structures', 'dfs and similar']"
899,A,955,['greedy']
899,B,1453,['implementation']
899,C,1322,"['constructive algorithms', 'graphs', 'math']"
899,D,1816,['math']
899,E,2104,"['data structures', 'dsu', 'flows', 'two pointers']"
899,F,2234,['data structures']
898,A,845,['implementation']
898,B,1379,"['brute force', 'implementation', 'number theory']"
898,C,1482,"['implementation', 'strings']"
898,D,1729,['greedy']
898,E,1695,['greedy']
898,F,2542,"['brute force', 'hashing', 'math']"
900,A,967,['implementation']
900,B,1424,['math']
900,C,1772,"['brute force', 'data structures', 'math']"
900,D,2109,"['bitmasks', 'combinatorics', 'dp', 'math', 'number theory']"
900,E,2298,"['data structures', 'dp', 'strings']"
896,A,1670,['dfs and similar']
896,B,1992,"['games', 'greedy']"
896,C,2680,['probabilities']
896,D,2909,"['chinese remainder theorem', 'combinatorics', 'math', 'number theory']"
896,E,3301,"['data structures', 'dsu']"
897,A,707,['implementation']
897,B,1350,['brute force']
897,C,1797,"['combinatorics', 'math']"
897,D,2141,['implementation']
897,E,4000,[]
895,A,1361,['brute force']
895,B,1761,"['binary search', 'sortings', 'two pointers']"
895,C,2068,"['bitmasks', 'combinatorics', 'dp', 'math']"
895,D,2353,"['combinatorics', 'math', 'strings']"
895,E,2591,"['data structures', 'probabilities']"
894,A,907,"['brute force', 'dp']"
894,B,1842,"['combinatorics', 'constructive algorithms', 'math', 'number theory']"
894,C,1923,"['constructive algorithms', 'math']"
894,D,2306,"['brute force', 'data structures', 'trees']"
894,E,2440,"['dp', 'graphs']"
891,A,1773,"['brute force', 'dp', 'greedy', 'math', 'number theory']"
891,B,2034,"['constructive algorithms', 'greedy']"
891,C,2328,"['data structures', 'dsu', 'graphs']"
891,D,3149,"['dfs and similar', 'dp', 'graph matchings', 'trees']"
891,E,2924,"['combinatorics', 'math', 'matrices']"
892,A,1029,['implementation']
892,B,1357,"['implementation', 'two pointers']"
892,C,1682,['greedy']
892,D,2045,"['constructive algorithms', 'greedy']"
892,E,2552,[]
878,A,1461,"['bitmasks', 'constructive algorithms']"
878,B,2322,['implementation']
878,C,2700,"['data structures', 'graphs']"
878,D,2916,[]
878,E,3456,"['combinatorics', 'dp']"
879,A,1118,['implementation']
879,B,1455,['implementation']
879,C,1703,"['bitmasks', 'constructive algorithms', 'graph matchings']"
879,D,2537,[]
879,E,2997,[]
877,A,1314,"['implementation', 'strings']"
877,B,1579,"['brute force', 'dp']"
877,C,1631,['constructive algorithms']
877,D,2159,"['data structures', 'dfs and similar', 'graphs', 'shortest paths']"
877,E,1997,"['bitmasks', 'data structures', 'trees']"
877,F,2558,"['data structures', 'flows', 'hashing']"
875,A,1100,['brute force']
875,B,1501,"['dsu', 'sortings', 'two pointers']"
875,C,2174,"['2-sat', 'dfs and similar', 'graphs', 'implementation']"
875,D,2133,"['binary search', 'bitmasks', 'combinatorics', 'data structures', 'divide and conquer']"
875,E,2610,"['binary search', 'data structures', 'dp']"
875,F,2452,"['dsu', 'greedy']"
876,A,1088,['math']
876,B,1336,['math']
876,C,1263,['brute force']
876,D,1521,"['dsu', 'sortings', 'trees', 'two pointers']"
876,E,2204,"['2-sat', 'dfs and similar', 'graphs']"
876,F,2213,['data structures']
870,A,1322,"['brute force', 'implementation']"
870,B,1593,['greedy']
870,C,1627,"['dp', 'greedy', 'number theory']"
870,D,2356,"['brute force', 'probabilities']"
870,E,4000,"['dfs and similar', 'dsu', 'graphs', 'trees']"
870,F,4000,"['data structures', 'number theory']"
871,A,1004,"['dp', 'greedy', 'math', 'number theory']"
871,B,2074,"['brute force', 'implementation']"
871,C,2233,"['dfs and similar', 'graphs']"
871,D,2680,"['number theory', 'sortings']"
871,E,3078,"['graphs', 'greedy', 'trees']"
872,A,1060,['implementation']
872,B,1349,['implementation']
872,C,1391,"['greedy', 'math', 'number theory']"
872,D,2192,"['brute force', 'implementation']"
872,E,2427,[]
869,A,1360,"['brute force', 'implementation']"
869,B,1266,['math']
869,C,1781,"['combinatorics', 'dp', 'math']"
869,D,2984,"['brute force', 'dfs and similar', 'graphs']"
869,E,2339,"['data structures', 'hashing']"
868,A,1106,"['brute force', 'strings']"
868,B,1590,['implementation']
868,C,1646,"['bitmasks', 'brute force', 'constructive algorithms', 'dp']"
868,D,2211,"['bitmasks', 'brute force', 'dp', 'strings']"
868,E,2718,"['dp', 'graphs', 'trees']"
868,F,2554,"['divide and conquer', 'dp']"
868,G,4000,['math']
865,A,1799,['constructive algorithms']
865,B,1966,"['binary search', 'sortings', 'ternary search']"
865,C,2209,"['binary search', 'dp']"
865,D,2270,"['constructive algorithms', 'data structures', 'greedy']"
865,E,4000,"['bitmasks', 'brute force', 'dp', 'graphs']"
865,F,4000,"['bitmasks', 'brute force', 'divide and conquer', 'math', 'meet-in-the-middle']"
865,G,4000,"['combinatorics', 'math', 'matrices']"
866,A,1381,"['combinatorics', 'constructive algorithms', 'math']"
866,B,2039,"['greedy', 'implementation', 'sortings']"
866,C,2427,"['binary search', 'dp', 'probabilities']"
866,D,2354,"['data structures', 'greedy', 'two pointers']"
866,E,3454,[]
866,F,3454,[]
866,G,3596,['math']
867,A,601,['implementation']
867,B,1406,"['combinatorics', 'constructive algorithms', 'math']"
867,C,1916,"['greedy', 'implementation', 'sortings', 'ternary search']"
867,D,2647,[]
867,E,2280,"['data structures', 'greedy']"
867,F,4000,[]
864,A,1154,"['implementation', 'sortings']"
864,B,1142,"['brute force', 'implementation', 'strings']"
864,C,1522,"['greedy', 'implementation', 'math']"
864,D,1559,"['greedy', 'implementation']"
864,E,2010,"['dp', 'sortings']"
864,F,2765,['dfs and similar']
855,A,781,"['brute force', 'implementation', 'strings']"
855,B,1591,"['brute force', 'data structures', 'dp']"
855,C,2055,"['dp', 'trees']"
855,D,2504,['trees']
855,E,2270,"['bitmasks', 'dp']"
855,F,3048,['data structures']
855,G,3310,"['dp', 'graphs', 'trees']"
862,A,1125,['implementation']
862,B,1406,"['dfs and similar', 'graphs']"
862,C,1953,['constructive algorithms']
862,D,2057,"['binary search', 'divide and conquer']"
862,E,2200,"['binary search', 'data structures']"
862,F,2980,"['data structures', 'strings']"
859,A,809,['greedy']
859,B,1085,"['brute force', 'math']"
859,C,1533,"['dp', 'games']"
859,D,2130,"['dp', 'probabilities']"
859,E,2086,"['combinatorics', 'dfs and similar', 'dsu', 'graphs', 'trees']"
859,F,2886,['greedy']
859,G,3041,['math']
853,A,1389,['greedy']
853,B,1948,"['greedy', 'sortings', 'two pointers']"
853,C,2068,['data structures']
853,D,2516,"['binary search', 'dp']"
853,E,4000,"['data structures', 'geometry']"
